,neighbourhood,latitude,longitude,room_type,price
22588,Amager st,55.66465,12.61945,Entire home/apt,998
22589,Indre By,55.69255,12.58319,Entire home/apt,648
22590,Indre By,55.68292,12.56729,Entire home/apt,951
22591,Amager st,55.66465,12.61945,Entire home/apt,1066
22592,Brnshj-Husum,55.70406,12.49174,Private room,403
22593,Vesterbro-Kongens Enghave,55.669230000000006,12.54565,Entire home/apt,1624
22594,Indre By,55.68233000000001,12.5763,Entire home/apt,2003
22595,Nrrebro,55.69978,12.54032,Entire home/apt,550
22596,Nrrebro,55.70298,12.55011,Entire home/apt,703
22597,Amager st,55.66342,12.60636,Entire home/apt,822
22598,Indre By,55.67178000000001,12.57566,Entire home/apt,1385
22599,Amager Vest,55.66427,12.57717,Entire home/apt,600
22600,sterbro,55.69784,12.58284,Private room,696
22601,Vesterbro-Kongens Enghave,55.66581,12.54501,Entire home/apt,598
22602,Vesterbro-Kongens Enghave,55.65807,12.53897,Entire home/apt,903
22603,Vanlse,55.68151999999999,12.48941,Entire home/apt,498
22604,Vesterbro-Kongens Enghave,55.66962,12.55552,Entire home/apt,462
22605,Valby,55.65494,12.50686,Entire home/apt,1501
22606,Nrrebro,55.69877,12.54093,Entire home/apt,482
22607,Indre By,55.69658,12.58156,Entire home/apt,689
22608,Brnshj-Husum,55.71347,12.45822,Entire home/apt,600
22609,sterbro,55.70369,12.59614,Shared room,300
22610,Indre By,55.68655,12.56717,Entire home/apt,1494
22611,Bispebjerg,55.70451,12.53056,Entire home/apt,805
22612,Amager Vest,55.66338,12.58186,Entire home/apt,903
22613,sterbro,55.71285,12.57286,Entire home/apt,600
22614,Vesterbro-Kongens Enghave,55.67043,12.54277,Entire home/apt,498
22615,Amager Vest,55.66479,12.59864,Entire home/apt,498
22616,Valby,55.6736,12.48674,Entire home/apt,251
22617,Vanlse,55.69114,12.47989,Entire home/apt,403
22618,Nrrebro,55.69731,12.55182,Entire home/apt,246
22619,Nrrebro,55.70039000000001,12.55089,Entire home/apt,502
22620,Indre By,55.68831,12.57193,Entire home/apt,1148
22621,Nrrebro,55.69184,12.54453,Entire home/apt,801
22622,Vesterbro-Kongens Enghave,55.67134,12.56051,Entire home/apt,849
22623,Vesterbro-Kongens Enghave,55.65207,12.54822,Private room,340
22624,Frederiksberg,55.68904000000001,12.52885,Entire home/apt,598
22625,Amager Vest,55.66656999999999,12.59446,Entire home/apt,1399
22626,Indre By,55.67588000000001,12.59871,Entire home/apt,699
22627,Valby,55.6544,12.52657,Entire home/apt,600
22628,Nrrebro,55.68919,12.55656,Entire home/apt,703
22629,Vesterbro-Kongens Enghave,55.66658,12.54826,Entire home/apt,699
22630,Indre By,55.67409,12.57656,Entire home/apt,1501
22631,sterbro,55.69799,12.58011,Entire home/apt,1236
22632,sterbro,55.70616999999999,12.5622,Entire home/apt,652
22633,Vesterbro-Kongens Enghave,55.64875,12.52185,Entire home/apt,828
22634,Vanlse,55.68557,12.48755,Entire home/apt,577
22635,Amager st,55.66036999999999,12.61995,Private room,699
22636,Amager st,55.66235,12.62981,Private room,299
22637,Bispebjerg,55.7066,12.53062,Entire home/apt,699
22638,sterbro,55.69414,12.56987,Entire home/apt,1003
22639,Amager st,55.66132,12.6282,Private room,287
22640,Frederiksberg,55.67569,12.5127,Entire home/apt,1052
22641,Amager st,55.65353,12.61769,Entire home/apt,600
22642,Amager Vest,55.64431,12.61213,Entire home/apt,553
22643,sterbro,55.69856,12.57918,Entire home/apt,1999
22644,Bispebjerg,55.69776,12.53053,Entire home/apt,699
22645,Vesterbro-Kongens Enghave,55.67268000000001,12.55884,Private room,299
22646,Valby,55.65801,12.51938,Entire home/apt,747
22647,Nrrebro,55.6923,12.55985,Entire home/apt,998
22648,sterbro,55.71311,12.5722,Entire home/apt,951
22649,Indre By,55.6906,12.57026,Entire home/apt,1046
22650,Valby,55.65281,12.51224,Private room,353
22651,sterbro,55.70736,12.57832,Entire home/apt,901
22652,Amager Vest,55.6565,12.58878,Entire home/apt,699
22653,Nrrebro,55.69501,12.55325,Entire home/apt,747
22654,Vesterbro-Kongens Enghave,55.66583000000001,12.54044,Entire home/apt,998
22655,Frederiksberg,55.68511,12.50885,Entire home/apt,998
22656,Amager st,55.65145,12.61812,Private room,299
22657,Frederiksberg,55.68561999999999,12.52934,Private room,901
22658,Vesterbro-Kongens Enghave,55.66408000000001,12.54213,Entire home/apt,901
22659,Vesterbro-Kongens Enghave,55.66205,12.54152,Private room,251
22660,Vesterbro-Kongens Enghave,55.66471,12.54486,Entire home/apt,1099
22661,Brnshj-Husum,55.70353000000001,12.48542,Private room,300
22662,Indre By,55.68287,12.58219,Entire home/apt,890
22663,Vesterbro-Kongens Enghave,55.67186,12.54434,Entire home/apt,801
22664,sterbro,55.70775,12.58096,Entire home/apt,389
22665,Indre By,55.68084,12.58379,Private room,6003
22666,Nrrebro,55.69856,12.53918,Entire home/apt,450
22667,Nrrebro,55.69385,12.54396,Entire home/apt,652
22668,Amager st,55.65954,12.63228,Entire home/apt,1399
22669,Amager st,55.66359,12.60584,Entire home/apt,751
22670,Indre By,55.6756,12.5994,Entire home/apt,720
22671,Valby,55.66752,12.51847,Entire home/apt,450
22672,sterbro,55.71073000000001,12.56645,Entire home/apt,3001
22673,sterbro,55.71078000000001,12.56724,Entire home/apt,1249
22674,Amager st,55.66622,12.61676,Private room,478
22675,Vanlse,55.69794,12.46899,Entire home/apt,896
22676,sterbro,55.69292,12.5685,Entire home/apt,1012
22677,Vesterbro-Kongens Enghave,55.65133,12.5434,Entire home/apt,448
22678,Nrrebro,55.6924,12.54548,Entire home/apt,600
22679,Bispebjerg,55.70454,12.52499,Entire home/apt,502
22680,Amager st,55.66262,12.62864,Entire home/apt,998
22681,Indre By,55.68739,12.56584,Entire home/apt,1569
22682,Nrrebro,55.6955,12.54607,Entire home/apt,798
22683,sterbro,55.71397,12.5765,Entire home/apt,2003
22684,Amager Vest,55.65666,12.59006,Entire home/apt,598
22685,Indre By,55.67356,12.59198,Private room,951
22686,Frederiksberg,55.68615,12.52537,Entire home/apt,696
22687,Vesterbro-Kongens Enghave,55.66975,12.55806,Entire home/apt,903
22688,Amager st,55.666,12.61221,Entire home/apt,903
22689,Vesterbro-Kongens Enghave,55.64938000000001,12.55243,Entire home/apt,1692
22690,Valby,55.66736,12.50709,Entire home/apt,519
22691,Amager Vest,55.63332,12.57893,Entire home/apt,849
22692,Nrrebro,55.68825,12.54333,Entire home/apt,720
22693,Indre By,55.68231,12.57074,Entire home/apt,923
22694,Indre By,55.67737,12.58422,Entire home/apt,751
22695,Bispebjerg,55.70154,12.53032,Entire home/apt,403
22696,Amager Vest,55.66546999999999,12.59472,Entire home/apt,648
22697,Amager Vest,55.65501,12.56703,Entire home/apt,1494
22698,Frederiksberg,55.68584,12.5285,Entire home/apt,1201
22699,Amager Vest,55.66479,12.59717,Entire home/apt,744
22700,Nrrebro,55.68603,12.55358,Entire home/apt,798
22701,Valby,55.66524,12.50573,Private room,353
22702,Frederiksberg,55.67666,12.53037,Entire home/apt,1003
22703,Amager Vest,55.65624,12.56592,Entire home/apt,998
22704,Vesterbro-Kongens Enghave,55.66799,12.54893,Entire home/apt,1003
22705,Frederiksberg,55.67989,12.50198,Private room,450
22706,Indre By,55.68491,12.58716,Entire home/apt,4162
22707,Nrrebro,55.68849,12.54856,Entire home/apt,1100
22708,Bispebjerg,55.72064,12.54205,Entire home/apt,403
22709,Nrrebro,55.69532,12.54507,Entire home/apt,600
22710,Valby,55.65057,12.4885,Entire home/apt,280
22711,Frederiksberg,55.6811,12.50957,Entire home/apt,1297
22712,Indre By,55.67446999999999,12.59758,Entire home/apt,1501
22713,Amager st,55.64965,12.61566,Entire home/apt,1201
22714,Vesterbro-Kongens Enghave,55.64601999999999,12.55177,Entire home/apt,416
22715,Indre By,55.69129,12.57779,Entire home/apt,1201
